"Time","EncCounts"
0,0
1,1
2,7
3,9
4,9
5,9
6,11
7,13
8,16
9,15
10,15
11,16
12,17
13,16
14,16
15,15
16,16
17,17
18,16
19,16
20,16
21,16
22,16
23,16
24,16
25,16
26,16
27,16
28,16
29,16
30,16
31,16
32,16
33,16
34,15
35,16
36,17
37,16
38,16
39,15
40,16
41,16
42,17
43,15
44,16
45,16
46,16
47,17
48,16
49,15
50,16
51,16
52,17
53,16
54,16
55,15
56,16
57,17
58,16
59,15
60,16
61,16
62,17
63,15
64,16
65,16
66,16
67,17
68,15
69,16
70,17
71,16
72,16
73,15
74,16
75,17
76,16
77,16
78,15
79,16
80,17
81,16
82,15
83,16
84,16
85,17
86,16
87,15
88,16
89,17
90,16
91,15
92,16
93,16
94,17
95,16
96,16
97,15
98,16
99,17
100,16
101,15
102,17
103,16
104,15
105,16
106,17
107,16
108,15
109,16
110,16
111,17
112,16
113,15
114,17
115,16
116,15
117,16
118,17
119,16
120,16
121,16
122,15
123,17
124,16
125,16
126,16
127,15
128,16
129,17
130,16
131,16
132,16
133,16
134,16
135,16
136,15
137,16
138,17
139,17
140,15
141,15
142,16
143,17
144,16
145,16
146,16
147,15
148,16
149,16
150,17
151,15
152,16
153,16
154,17
155,15
156,17
157,16
158,15
159,16
160,17
161,16
162,15
163,16
164,17
165,16
166,15
167,16
168,16
169,17
170,16
171,16
172,15
173,16
174,17
175,16
176,15
177,17
178,16
179,15
180,16
181,17
182,16
183,16
184,15
185,16
186,16
187,17
188,16
189,15
190,16
191,16
192,17
193,16
194,15
195,16
196,16
197,17
198,16
199,16
200,15
201,17
202,16
203,15
204,17
205,16
206,16
207,15
208,17
209,16
210,16
211,15
212,16
213,17
214,16
215,16
216,16
217,16
218,15
219,17
220,16
221,15
222,17
223,16
224,16
225,16
226,15
227,16
228,17
229,16
230,16
231,16
232,15
233,16
234,17
235,16
236,16
237,16
238,16
239,15
240,16
241,17
242,16
243,16
244,16
245,15
246,16
247,17
248,16
249,15
