"time","true_position","measured_position","estimated_position","true_velocity","estimated_velocity"
0,5.5744e-05,0.0380549,5e-05,0.0101332,0.01
0.01,0.000210996,-7.66179,0.0002,0.021874,0.02
0.02,0.000477412,0.928478,0.00045,0.0325208,0.03
0.03,0.000847136,-4.37515,0.000799999,0.042778,0.04
0.04,0.00132417,-3.01268,0.00125,0.0529164,0.05
0.05,0.00191,1.26391,0.0018,0.0612864,0.06
0.06,0.00257905,-9.77942,0.00244999,0.0728796,0.0699999
0.07,0.00335573,6.86735,0.0032,0.08369,0.08
0.08,0.00424935,-4.64375,0.00404999,0.0947724,0.0899999
0.09,0.00525612,-5.80874,0.00499998,0.103601,0.0999998
0.1,0.00634817,-2.43765,0.00604997,0.115578,0.11
0.11,0.00755003,-3.73045,0.00719996,0.12488,0.12
0.12,0.00883995,2.20884,0.00844996,0.134259,0.13
0.13,0.0102346,6.20023,0.00979999,0.14454,0.14
0.14,0.0117304,9.59773,0.01125,0.155214,0.15
0.15,0.0133326,4.15333,0.0128001,0.165221,0.160001
0.16,0.0150261,2.12103,0.0144501,0.177006,0.170001
0.17,0.0168377,-3.82316,0.0162001,0.186368,0.18
0.18,0.0187598,4.29476,0.0180501,0.197615,0.190001
0.19,0.0207924,8.43879,0.0200002,0.208672,0.200001
0.2,0.0229325,1.03093,0.0220502,0.218938,0.210002
0.21,0.0251628,7.54516,0.0242004,0.228959,0.220002
0.22,0.0275123,-5.56049,0.0264503,0.239205,0.230002
0.23,0.0299491,-1.44605,0.0288003,0.250402,0.240002
0.24,0.0325068,4.63251,0.0312504,0.259674,0.250002
0.25,0.0351568,-5.33284,0.0338003,0.270959,0.260001
0.26,0.0379138,6.29791,0.0364505,0.281051,0.270002
0.27,0.0407766,5.81878,0.0392007,0.289994,0.280003
0.28,0.0437349,2.05773,0.0420508,0.30116,0.290003
0.29,0.0467919,-9.94921,0.0450004,0.31162,0.300002
0.3,0.0499645,-5.91604,0.0480502,0.323294,0.310001
0.31,0.053245,4.19725,0.0512004,0.333691,0.320001
0.32,0.0566396,8.13464,0.0544508,0.344066,0.330003
0.33,0.0601351,4.12014,0.0578011,0.353938,0.340004
0.34,0.0637305,3.18773,0.0612513,0.362548,0.350005
0.35,0.0674067,-7.67659,0.0648009,0.372352,0.360003
0.36,0.0711782,2.78718,0.0684511,0.382179,0.370004
0.37,0.0750443,0.209044,0.0722011,0.390451,0.380004
0.38,0.0789888,-3.95501,0.0760508,0.40094,0.390002
0.39,0.083043,8.35104,0.0800016,0.412501,0.400005
0.4,0.0872128,-0.572788,0.0840516,0.4219,0.410005
0.41,0.0914733,-8.58053,0.0882007,0.431338,0.420002
0.42,0.095835,-3.99816,0.0924503,0.44032,0.43
0.43,0.100285,5.37028,0.0968009,0.45081,0.440002
0.44,0.104833,1.12683,0.101251,0.459053,0.450003
0.45,0.10947,-9.84653,0.1058,0.469429,0.459998
0.46,0.114213,-0.703788,0.11045,0.479946,0.469998
0.47,0.119066,0.659067,0.1152,0.491315,0.479998
0.48,0.124024,-6.88998,0.120049,0.501233,0.489995
0.49,0.129086,3.62509,0.124999,0.512102,0.499997
0.5,0.134248,-9.37375,0.130047,0.522465,0.509992
0.51,0.139523,-2.17648,0.135197,0.533128,0.51999
0.52,0.144906,-4.55709,0.140446,0.541461,0.529988
0.53,0.150378,0.600378,0.145796,0.55108,0.539988
0.54,0.155935,1.82394,0.151246,0.559337,0.549989
0.55,0.161585,6.41358,0.156797,0.568858,0.559993
0.56,0.167323,-0.994677,0.162447,0.578634,0.569992
0.57,0.173168,8.56117,0.168199,0.58721,0.579998
0.58,0.179082,-1.84492,0.174049,0.599152,0.589996
0.59,0.185131,-7.49087,0.179996,0.609114,0.599991
0.6,0.191273,4.32927,0.186047,0.619289,0.609994
0.61,0.19751,-2.34849,0.192197,0.630088,0.619992
0.62,0.203855,-7.97215,0.198444,0.639234,0.629985
0.63,0.21029,-7.16771,0.204791,0.65045,0.639979
0.64,0.216841,-5.87516,0.211238,0.65879,0.649974
0.65,0.223479,-5.55852,0.217786,0.670459,0.659969
0.66,0.23023,-3.96577,0.224434,0.678547,0.669966
0.67,0.237063,-8.37694,0.23118,0.69035,0.679958
0.68,0.244013,-8.65799,0.238025,0.701057,0.689949
0.69,0.25107,-6.13693,0.244972,0.711266,0.699943
0.7,0.258232,-2.54777,0.25202,0.722217,0.70994
0.71,0.265511,-8.54649,0.259165,0.734009,0.719931
0.72,0.272907,9.89691,0.266419,0.745259,0.729941
0.73,0.280418,5.98442,0.273772,0.757028,0.739947
0.74,0.288029,0.398028,0.281221,0.768487,0.749947
0.75,0.295771,-8.54623,0.288766,0.77797,0.759937
0.76,0.303605,-8.0984,0.29641,0.788727,0.769927
0.77,0.311532,3.62753,0.304161,0.799608,0.779931
0.78,0.319583,-2.82842,0.312008,0.81029,0.789927
0.79,0.327734,8.22573,0.319963,0.818368,0.799937
0.8,0.335969,2.98997,0.328015,0.828308,0.809941
0.81,0.344303,-5.3397,0.33616,0.840019,0.819933
0.82,0.352749,3.62475,0.344412,0.85099,0.829938
0.83,0.361304,-4.8187,0.352757,0.861588,0.839931
0.839999,0.369973,-7.51403,0.3612,0.870878,0.849919
0.849999,0.378738,-0.0912622,0.369748,0.882182,0.859919
0.859999,0.387617,6.40762,0.378403,0.892343,0.869928
