"time","xAngle","gyroXangle","compAngleX","kalAngleX","yAngle","gyroYangle","compAngleY","kalAngleY"
0,0.400154,0.598488,0.584604,0.598485,-73.8874,0.328047,-4.86703,0.327047
1,73.7923,10.8607,15.253,10.9055,-43.8052,0.361803,-7.56131,0.329377
2,1.30695,20.9932,23.7,21.0103,-73.9803,0.393721,-12.181,0.25692
3,1.55571,31.005,31.4609,30.9603,-73.9218,0.4245,-16.4742,0.132082
4,0.99005,40.9071,38.5369,40.7511,-73.803,0.450384,-20.4631,-0.048653
5,0.494645,50.706,44.9869,50.3751,-73.803,0.480904,-24.1685,-0.276055
6,0.399225,60.378,50.8608,59.7968,-73.8649,0.503129,-27.6266,-0.56321
7,73.679,69.9194,61.3315,69.3578,-43.7396,0.526935,-28.7324,-0.752818
8,73.6711,79.4403,71.0497,78.8481,-44.3557,0.548883,-29.8056,-0.978022
9,73.3889,89.0449,80.1457,88.356,-44.7745,0.574155,-30.8299,-1.23326
10,73.1567,98.8378,88.7639,97.9714,-45.009,0.548265,-31.8465,-1.57194
11,73.008,108.911,97.0286,107.77,-45.4922,0.516516,-32.8313,-1.95085
12,72.9317,108.94,95.3694,107.499,-45.5646,0.477304,-33.7591,-2.36861
13,72.9825,109.305,94.1419,107.537,-45.4341,0.424005,-34.6259,-2.82974
14,73.1062,109.978,93.2952,107.851,-45.2629,0.37898,-35.4124,-3.31094
15,73.2597,110.979,92.8238,108.461,-45.288,0.321709,-36.1569,-3.83414
16,73.0661,112.419,92.7799,109.464,-45.4404,0.262855,-36.8615,-4.38981
17,73.4217,114.296,93.1705,110.861,-45.0845,0.191388,-37.5036,-4.98245
18,73.7516,116.462,93.8256,112.495,-44.3476,0.104456,-38.0635,-5.60873
19,74.1055,118.775,94.596,114.221,-43.8765,0.0306514,-38.539,-6.24218
20,2.30737,121.216,90.4055,114.97,-74.129,-0.0365363,-41.0928,-7.33359
21,4.87043,123.813,86.8337,115.794,-73.9117,-0.111789,-43.4601,-8.47647
22,8.07356,126.462,83.7835,116.598,-74.3354,-0.180426,-45.6852,-9.66488
23,12.9509,129.051,81.2338,117.306,-73.8807,-0.234395,-47.7091,-10.8754
24,19.8709,131.588,79.2973,117.964,-0.601284,-0.299111,-44.4717,-10.845
25,24.7005,133.749,77.4854,118.228,-73.501,-0.371592,-46.5712,-12.159
26,27.7373,135.39,75.5287,117.937,-73.2686,-0.412801,-48.4783,-13.4776
27,30.3403,136.495,73.3937,117.081,-73.0641,-0.468167,-50.2508,-14.8442
28,34.549,136.869,71.0222,115.52,-72.4776,-0.517441,-51.8525,-16.2279
29,34.7652,146.848,77.7648,123.303,-72.3697,-0.542311,-53.3119,-17.6182
30,32.8464,156.096,83.221,130.053,-72.7407,-10.918,-64.3213,-29.1653
31,30.2272,164.678,87.4927,135.821,-73.1443,-10.9223,-64.9429,-30.3732
32,28.1051,172.705,90.8006,140.734,-73.054,-21.2975,-75.1596,-41.7203
33,25.4608,144.728,93.1222,144.728,-0.261147,-31.6736,-79.5665,-51.0061
34,22.58,151.538,94.5174,147.813,-73.7457,-42.0364,-88.7964,-61.8711
35,17.706,157.884,95.0427,150.081,-74.319,-52.4494,-97.4671,-72.5273
36,8.39761,163.886,94.5593,151.538,-75.0296,-62.8115,-105.533,-82.8634
37,0.77493,169.774,93.4708,152.455,-75.0284,-73.1728,-113.034,-92.8984
38,74.7784,175.822,97.7866,155.448,-44.8951,-83.5459,-117.911,-101.763
39,73.8883,158.566,102.063,158.566,-0.353739,-93.8943,-119.306,-108.951
40,73.2331,165.383,106.385,161.87,-46.4408,-104.241,-123.828,-117.183
41,74.1044,172.356,110.611,165.14,-46.8838,-114.526,-128.007,-125.024
42,70.2298,169.033,115.196,169.033,-1.13246,-124.792,-128.673,-131.045
43,73.1217,177.573,120.194,173.321,-0.323394,-134.948,-129.134,-136.573
44,72.2047,177.755,125.205,177.755,-48.6525,-145.196,-133.031,-143.44
45,72.8025,182.891,130.836,182.891,-49.0264,-155.454,-136.69,-149.977
46,71.6471,178.666,127.318,178.666,-0.64877,-165.779,-136.769,-154.556
47,72.576,175.15,124.75,175.15,-48.4248,-176.126,-140.209,-160.482
48,72.657,177.075,122.893,172.178,-48.4309,-166.094,-143.445,-166.094
49,73.0448,179.596,121.748,169.781,-47.8489,-166.133,-136.789,-161.362
50,73.7005,167.659,121.004,167.659,-47.9264,-166.254,-130.681,-156.745
51,73.0558,171.223,120.961,166.195,-47.4222,-166.323,-124.917,-152.097
52,74.267,175.08,121.28,164.996,-0.438554,-166.492,-116.361,-145.802
53,74.4021,179.444,122.057,164.226,-44.5444,-166.603,-111.436,-141.218
54,4.36404,160.559,117.805,160.559,-0.637997,-166.707,-103.777,-134.969
55,5.37474,164.613,113.705,156.663,-1.46102,-166.779,-96.6819,-128.807
56,7.60235,168.66,110.042,152.825,-74.8256,-166.869,-95.2357,-125.7
57,17.6788,172.588,107.23,149.262,-74.7609,-166.929,-93.8586,-122.626
58,23.464,176.074,104.608,145.51,-73.6716,-166.979,-92.4925,-119.572
59,25.8748,179.103,101.913,141.432,-2.02419,-177.316,-95.7724,-123.48
60,33.1856,137.296,99.5294,137.296,-1.24319,-177.449,-89.2796,-117.276
61,33.8723,139.277,96.7753,132.645,-72.7947,-177.545,-88.2144,-114.188
62,37.0612,140.56,93.7887,127.546,-72.1465,-177.693,-87.2279,-111.205
63,37.9724,141.01,90.2999,121.802,-72.1546,-177.828,-86.2979,-108.293
64,41.4256,151.051,96.2171,125.538,-71.9886,-177.854,-85.3206,-105.354
65,40.3645,160.122,100.743,128.043,-71.879,-112.38,-94.009,-112.38
66,36.1711,168.459,103.976,129.464,-73.1285,-122.659,-102.107,-119.041
67,32.5365,176.345,106.309,130.13,-73.5435,-132.874,-109.607,-125.314
68,32.075,129.865,107.707,129.865,-3.44337,-143.166,-111.747,-128.202
69,26.0673,136.683,108.332,128.979,-0.864055,-153.455,-113.554,-130.708
70,18.0491,143.184,108.058,127.364,-1.05318,-163.726,-115.231,-132.957
71,16.0145,149.437,107.431,125.37,-74.0573,-174.042,-121.943,-138.301
72,10.0005,155.469,106.22,122.876,-0.141772,-139.944,-122.974,-139.944
73,5.26847,161.276,104.554,119.945,-0.272591,-150.233,-123.954,-141.384
74,75.4124,167.046,107.88,120.203,-44.4303,-160.556,-127.987,-144.661
75,74.6626,172.64,110.758,120.186,-44.8317,-170.866,-131.755,-147.68
76,74.7367,179.062,114.209,120.927,-44.9426,-150.404,-135.207,-150.404
77,73.2714,121.713,117.508,121.713,-0.134205,-160.636,-135.268,-150.797
78,73.3454,128.594,120.816,122.666,-47.3076,-170.679,-138.45,-153.042
79,74.4163,135.555,124.041,123.646,-0.941209,-152.938,-138.197,-152.938
80,71.8106,143.331,127.617,125.179,-0.0784809,-163.143,-138.02,-152.761
81,72.3482,152.259,132.051,127.717,-0.782255,-173.469,-138.016,-152.592
82,72.7032,162.153,137.098,131.009,-0.53545,-173.496,-128.418,-142.447
