"Time","EncCounts"
0,0
1,2
2,7
3,12
4,10
5,9
6,10
7,12
8,16
9,16
10,17
11,16
12,15
13,16
14,17
15,16
16,16
17,16
18,16
19,16
20,16
21,17
22,16
23,15
24,16
25,17
26,16
27,15
28,16
29,17
30,16
31,15
32,15
33,17
34,17
35,16
36,15
37,16
38,15
39,16
40,16
41,16
42,17
43,15
44,16
45,17
46,16
47,16
48,16
49,16
50,16
51,15
52,17
53,16
54,15
55,17
56,16
57,16
58,16
59,15
60,17
61,16
62,16
63,16
64,16
65,15
66,17
67,16
68,16
69,15
70,17
71,16
72,16
73,16
74,16
75,16
76,16
77,16
78,16
79,17
80,15
81,16
82,16
83,16
84,17
85,16
86,15
87,15
88,17
89,17
90,16
91,15
92,15
93,17
94,17
95,15
96,16
97,16
98,16
99,16
100,17
101,15
102,16
103,16
104,16
105,17
106,16
107,15
108,15
109,17
110,16
111,17
112,15
113,15
114,16
115,17
116,16
117,16
118,15
119,17
120,16
121,16
122,16
123,16
124,16
125,16
126,17
127,16
128,15
129,15
130,17
131,16
132,17
133,15
134,16
135,16
136,16
137,15
138,17
139,17
140,15
141,15
142,16
143,17
144,17
145,15
146,15
147,16
148,17
149,16
150,15
151,16
152,17
153,16
154,16
155,15
156,17
157,17
158,15
159,15
160,17
161,16
162,15
163,16
164,17
165,16
166,16
167,16
168,15
169,17
170,16
171,16
172,15
173,16
174,17
175,17
176,15
177,15
178,17
179,16
180,17
181,15
182,16
183,16
184,16
185,16
186,17
187,15
188,16
189,16
190,16
191,16
192,16
193,16
194,15
195,17
196,16
197,16
198,16
199,16
200,16
201,17
202,15
203,16
204,16
205,16
206,16
207,17
208,15
209,16
210,16
211,16
212,17
213,15
214,16
215,16
216,16
217,17
218,16
219,15
220,15
221,17
222,17
223,16
224,14
225,16
226,18
227,16
228,14
229,16
230,17
231,16
232,16
233,15
234,16
235,16
236,17
237,17
238,15
239,15
240,16
241,18
242,16
243,14
244,16
245,17
246,17
247,16
248,14
249,16
