"time","measured_angle","estimated_angle","estimated_drift"
0,-4.75542,0.000509693,0
1,-2.10165,0.000742454,2.1024e-08
2,0.24263,0.000413843,1.37575e-08
3,0.818456,0.000103064,-3.53427e-08
4,-3.55198,-0.000105055,3.19832e-07
5,-0.196708,-0.000231346,3.49302e-07
6,-1.37209,-0.000159432,6.37384e-07
7,-3.87707,0.000728865,1.72304e-06
8,-0.0177057,0.00150576,1.72996e-06
9,0.98807,0.00214631,1.28638e-06
10,-0.0538325,0.00275077,1.31749e-06
11,-1.6103,0.003374,2.38221e-06
12,-1.46746,0.00427436,3.52976e-06
13,0.570621,0.005529,3.01573e-06
14,0.323702,0.00593541,2.68224e-06
15,0.133284,0.0062,2.52982e-06
16,0.214322,0.00609797,2.24681e-06
17,-1.91375,0.0059054,5.18181e-06
18,-2.85454,0.00607998,1.00696e-05
19,-4.99408,0.00692056,1.95631e-05
20,-5.11836,0.00883751,3.03197e-05
21,-4.68531,0.0111263,4.11567e-05
22,-2.56243,0.0144962,4.76686e-05
23,-3.19392,0.0170856,5.65194e-05
24,-1.38914,0.0207642,6.07431e-05
25,2.51688,0.0243346,5.26548e-05
26,1.50315,0.0264653,4.74803e-05
27,-1.65978,0.0277419,5.38477e-05
28,1.10068,0.030105,4.95095e-05
29,0.508581,0.0311028,4.74368e-05
30,-3.01191,0.0312382,6.15561e-05
31,-3.01729,0.0326009,7.66477e-05
32,-2.21417,0.0338308,8.84872e-05
33,-2.90332,0.0355981,0.00010493
34,-3.06771,0.0379804,0.000123357
35,-1.13282,0.040796,0.000130728
36,2.07541,0.0437279,0.00011724
37,-2.16397,0.0454413,0.00013272
38,-3.10149,0.0470887,0.000155968
39,-2.10287,0.0489417,0.000172689
40,-2.07873,0.0518051,0.000190091
41,-4.61711,0.0548144,0.000230149
42,-1.52658,0.0595174,0.00024441
43,0.695725,0.0639539,0.00023846
44,2.62987,0.0688628,0.000213227
45,2.0289,0.0730469,0.000193085
46,1.8132,0.0763998,0.000174408
47,0.962438,0.0797518,0.000164506
48,1.31382,0.0832055,0.000150116
49,-1.12825,0.0850381,0.000164891
50,0.396276,0.0880642,0.000160985
51,2.49767,0.0914582,0.000129283
52,0.877893,0.0938474,0.000118551
53,1.84705,0.0969676,9.36799e-05
54,-0.934567,0.097855,0.000108901
55,-2.41213,0.0987592,0.000147282
56,0.635182,0.100351,0.000138812
57,-1.9649,0.101828,0.000172702
58,-3.00993,0.103559,0.000225534
59,-1.4403,0.105114,0.000252654
60,-1.0092,0.107158,0.000272903
61,1.07518,0.110612,0.000254829
62,1.55277,0.113737,0.00022699
63,0.187631,0.116491,0.00022557
64,1.22807,0.118745,0.000202727
65,1.72393,0.120233,0.000168684
66,2.52995,0.12252,0.000116023
67,1.19209,0.122901,9.19346e-05
68,0.390454,0.123197,8.57357e-05
69,1.09684,0.124204,6.252e-05
70,-2.16951,0.12302,0.000118807
71,-2.72713,0.122968,0.000190758
72,-0.809407,0.124503,0.000214991
73,-3.18711,0.123839,0.000303256
74,-1.74746,0.124694,0.000354514
75,-1.0837,0.126247,0.000388525
76,-0.473508,0.129119,0.000405909
77,1.01349,0.131451,0.000379804
78,2.73189,0.134214,0.000300956
79,2.83966,0.136299,0.000216827
80,1.24317,0.137399,0.000181558
81,0.912276,0.138296,0.000156264
82,-2.29331,0.137524,0.000237634
83,-2.24022,0.13643,0.000319097
84,1.41258,0.137804,0.000274367
85,-1.25681,0.13686,0.000324413
86,-3.17983,0.134252,0.000446169
87,-2.57133,0.133512,0.000547811
88,-2.36119,0.134127,0.000643695
89,-2.64453,0.133219,0.000752811
90,0.695303,0.135235,0.000730325
91,1.45558,0.136517,0.000676215
92,-0.793329,0.136322,0.000715172
93,-0.812039,0.136765,0.000755778
94,-5.47963,0.133798,0.00100107
95,-2.46282,0.133141,0.00111687
96,-0.617855,0.133843,0.00115109
97,-1.99515,0.133385,0.00124997
98,-2.07633,0.131915,0.00135461
99,-3.22134,0.129909,0.00151659
100,-3.01098,0.128546,0.00167132
101,-3.09216,0.127022,0.00183308
102,-3.87312,0.126254,0.00203792
103,-0.856185,0.127985,0.00208929
104,-2.15841,0.127398,0.00221086
105,-2.80416,0.126961,0.00236966
106,-1.05713,0.128136,0.00243507
107,-0.57836,0.129013,0.00247483
108,0.198192,0.131348,0.002471
109,-0.928364,0.13096,0.0025327
110,-1.30195,0.130461,0.00261763
111,-1.65549,0.130072,0.00272535
112,-2.01614,0.129266,0.00285706
113,-2.50188,0.128131,0.0030213
114,-3.4929,0.126792,0.00325123
115,0.165488,0.129218,0.00324889
116,-0.382188,0.132415,0.00328269
117,2.3625,0.137774,0.00313411
118,0.777646,0.141261,0.00309091
119,2.78055,0.145948,0.00290912
120,1.42506,0.149418,0.00281966
121,1.42654,0.152309,0.00272887
122,-0.729503,0.153,0.00279276
123,2.44021,0.156799,0.00262485
124,2.6643,0.160995,0.00243789
125,-0.680399,0.16255,0.00250182
126,-0.464132,0.164563,0.00255024
127,-2.87013,0.165486,0.0027876
128,3.64833,0.173171,0.00251176
129,-0.733666,0.175607,0.00258502
130,4.2472,0.184146,0.00225279
131,3.50573,0.190712,0.00197772
132,3.31908,0.196377,0.00171481
133,0.27316,0.197312,0.00170833
134,-1.47726,0.196828,0.00185339
135,-0.945036,0.197078,0.00195376
136,-0.56119,0.198966,0.00202152
137,-5.19761,0.196165,0.00250904
138,-0.817694,0.199694,0.00260228
139,-6.31244,0.197116,0.00320713
140,1.31494,0.204616,0.00310255
